cost,depth,tqc3TT,tqc3RT,tqc3Counts,tqc3Depth,tqc3Qubits,tqc2TT,tqc2RT,tqc2Counts,tqc2Depth,tqc2Qubits,tqc1TT,tqc1RT,tqc1Counts,tqc1Depth,tqc1Qubits,tqc0TT,tqc0RT,tqc0Counts,tqc0Depth,tqc0Qubits
38,16,0.14690756797790527,0.049981117248535156,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",16,"{'14': 6, '13': 3, '14,13': 2, '13,14': 2, '14,16': 1, '14,11': 1, '13,12': 1}",0.058031558990478516,0.05397439002990723,"{'000000000000000000000000000': 977, '100000000000000000000000000': 47}",34,"{'11,14': 6, '14,16': 4, '11': 3, '16': 3, '14,11': 3, '16,14': 3, '26': 3, '19': 3, '22,25': 2, '16,19': 2, '19,16': 2, '19,22': 2, '3,5': 2, '25,22': 2, '25,26': 2, '5,8': 2, '22,19': 1, '5,3': 1, '8,5': 1, '11,8': 1, '26,25': 1}",0.0479280948638916,0.05248427391052246,"{'100000000000000000000000000': 401, '000000000000000000000000000': 623}",34,"{'11,14': 6, '22,25': 4, '16,19': 4, '14,16': 4, '16': 3, '22': 3, '26': 3, '11': 3, '16,14': 3, '14,11': 3, '19,16': 2, '25,22': 2, '26,25': 2, '25,26': 2, '22,19': 2, '19,22': 2, '5,8': 2, '3,5': 2, '5,3': 1, '8,5': 1, '11,8': 1}",0.036957502365112305,0.05291914939880371,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",57,"{'7': 18, '12': 8, '13,14': 6, '12,13': 5, '10,12': 4, '0': 3, '7,10': 3, '14,13': 3, '14': 3, '13,12': 2, '19,22': 2, '11,14': 2, '1,4': 2, '0,1': 2, '12,10': 2, '16,19': 2, '4,7': 2, '2,3': 2, '14,16': 1, '19,16': 1, '22,19': 1, '7,4': 1, '1,0': 1, '10,7': 1, '14,11': 1, '1,2': 1, '4,1': 1, '3,2': 1}"
38,17,0.08135318756103516,0.04188728332519531,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",20,"{'16': 10, '14': 5, '13,14': 4, '13,12': 2, '12,15': 2, '13': 2, '11,14': 2, '14,16': 1, '14,13': 1, '14,11': 1, '15,12': 1}",0.05593419075012207,0.046918630599975586,"{'000000000000000000000000000': 964, '100000000000000000000000000': 60}",42,"{'12,15': 4, '13,14': 4, '15,18': 3, '12,13': 3, '26': 3, '2,3': 2, '21,23': 2, '18,15': 2, '15,12': 2, '14,13': 2, '14,16': 2, '16,19': 2, '19,22': 2, '25,26': 2, '22,25': 2, '7,10': 2, '3,5': 2, '17,18': 2, '6,7': 2, '8,11': 2, '5,8': 2, '23,24': 2, '24,23': 1, '18,21': 1, '5,3': 1, '7,6': 1, '12': 1, '12,10': 1, '13,12': 1, '8,5': 1, '14,11': 1, '14': 1, '16,14': 1, '10,7': 1, '19,16': 1, '22,19': 1, '11,8': 1, '25,22': 1, '3,2': 1, '26,25': 1, '18,17': 1, '23,21': 1, '18': 1}",0.048963308334350586,0.052979469299316406,"{'000000000000000000000000000': 965, '100000000000000000000000000': 59}",39,"{'12,13': 4, '13,14': 4, '15,18': 3, '26': 3, '2,3': 2, '21,23': 2, '18,15': 2, '15,12': 2, '12,15': 2, '13,12': 2, '14,13': 2, '14,16': 2, '16,19': 2, '19,22': 2, '25,26': 2, '22,25': 2, '23,24': 2, '3,5': 2, '6,7': 2, '17,18': 2, '8,11': 2, '5,8': 2, '7,10': 2, '24,23': 1, '10,7': 1, '18,21': 1, '5,3': 1, '7,6': 1, '12': 1, '12,10': 1, '8,5': 1, '14,11': 1, '14': 1, '23,21': 1, '16,14': 1, '19,16': 1, '11,8': 1, '22,19': 1, '25,22': 1, '3,2': 1, '26,25': 1, '18,17': 1, '18': 1}",0.042517900466918945,0.047934532165527344,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",77,"{'0': 24, '8': 16, '8,11': 6, '13,14': 5, '12,13': 4, '11,14': 3, '11,8': 3, '10,12': 3, '21,23': 2, '15,18': 2, '18,21': 2, '2,3': 2, '0,1': 2, '23,24': 2, '13,12': 2, '14,16': 2, '16,19': 2, '7,10': 2, '14,13': 2, '4,7': 2, '14,11': 2, '3,5': 2, '1,4': 2, '12,15': 2, '13': 1, '12,10': 1, '8,5': 1, '10': 1, '1,0': 1, '15,12': 1, '18,15': 1, '21,18': 1, '23,21': 1, '16,14': 1, '19,16': 1, '10,7': 1, '7,4': 1, '5,3': 1, '4,1': 1, '3,2': 1, '24,23': 1}"
38,18,0.050226449966430664,0.04205918312072754,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",16,"{'5': 10, '3': 7, '2': 6, '3,2': 3, '3,5': 1}",0.022002220153808594,0.05690932273864746,"{'000000000000000000000000000': 1014, '100000000000000000000000000': 10}",8,"{'23': 4, '23,21': 2, '23,24': 1, '21,23': 1}",0.019946813583374023,0.06095528602600098,"{'000000000000000000000000000': 1021, '100000000000000000000000000': 3}",8,"{'3': 4, '3,5': 2, '3,2': 1, '5,3': 1}",0.03893876075744629,0.054018497467041016,"{'000000000000000000000000000': 1020, '100000000000000000000000000': 4}",60,"{'2': 24, '0': 19, '2,3': 4, '1,2': 3, '2,1': 3, '3,2': 2, '14,16': 2, '0,1': 2, '8,11': 2, '5,8': 2, '11,14': 2, '1,0': 1, '16,14': 1, '14,11': 1, '11,8': 1, '8,5': 1, '3,5': 1, '3': 1}"
38,19,0.06397557258605957,0.04204869270324707,"{'000000000000000000000000000': 1014, '100000000000000000000000000': 10}",15,"{'14': 9, '14,13': 2, '12,13': 2, '14,11': 2, '8,11': 2, '13,12': 1, '11,8': 1}",0.05598187446594238,0.053223371505737305,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",33,"{'14,16': 6, '13,14': 5, '13': 4, '10,12': 4, '14': 3, '14,13': 3, '19': 3, '16,14': 3, '22,25': 2, '16,19': 2, '19,16': 2, '19,22': 2, '7,10': 2, '13,12': 2, '12,13': 2, '12,10': 2, '25,26': 2, '26,25': 1, '25,22': 1, '10,7': 1, '22,19': 1, '26': 1}",0.04693102836608887,0.049925804138183594,"{'000000000000000000000000000': 1013, '100000000000000000000000000': 11}",36,"{'14,16': 6, '13': 5, '13,14': 5, '10,12': 4, '16,19': 4, '14': 3, '14,13': 3, '22': 3, '16,14': 3, '25,26': 2, '19,22': 2, '22,19': 2, '22,25': 2, '7,10': 2, '13,12': 2, '12,13': 2, '12,10': 2, '19,16': 2, '26,25': 1, '26': 1, '25,22': 1, '10,7': 1}",0.03897905349731445,0.04843902587890625,"{'000000000000000000000000000': 1015, '100000000000000000000000000': 9}",50,"{'7': 9, '14': 7, '12': 6, '12,13': 4, '10,12': 4, '13,14': 3, '7,10': 3, '8,9': 2, '8,11': 2, '13,12': 2, '4,7': 2, '12,10': 2, '0,1': 2, '13': 2, '14,16': 2, '1,4': 2, '18,21': 2, '15,18': 2, '18,15': 1, '14,11': 1, '14,13': 1, '1,0': 1, '12,15': 1, '16,14': 1, '21,18': 1, '9,8': 1, '10,7': 1, '4,1': 1, '7,4': 1, '11,8': 1, '0': 1}"
38,20,0.03892636299133301,0.04194378852844238,"{'000000000000000000000000000': 1020, '100000000000000000000000000': 4}",11,"{'7': 8, '6': 7, '7,6': 3}",0.019526243209838867,0.0570371150970459,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",9,"{'20': 6, '20,19': 2, '19,20': 1}",0.017963886260986328,0.0630192756652832,"{'100000000000000000000000000': 532, '000000000000000000000000000': 492}",10,"{'26': 6, '26,25': 2, '25,26': 1}",0.040006399154663086,0.0539705753326416,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",49,"{'0': 39, '1': 4, '0,1': 2, '3,5': 2, '2,3': 2, '1,2': 2, '1,0': 1, '5,3': 1, '3,2': 1, '2,1': 1}"
38,21,0.0841209888458252,0.03904533386230469,"{'000000000000000000000000000': 1018, '100000000000000000000000000': 6}",10,"{'5': 7, '3': 5, '5,3': 3, '3,2': 1}",0.021941423416137695,0.0529942512512207,"{'000000000000000000000000000': 1016, '100000000000000000000000000': 8}",10,"{'3': 6, '3,2': 2, '2,3': 1, '3,5': 1}",0.01795196533203125,0.05839061737060547,"{'000000000000000000000000000': 1013, '100000000000000000000000000': 11}",10,"{'3': 6, '3,2': 2, '2,3': 1, '3,5': 1}",0.03994107246398926,0.052858591079711914,"{'000000000000000000000000000': 1017, '100000000000000000000000000': 7}",49,"{'0': 30, '2,3': 2, '1,2': 2, '12,15': 2, '1': 2, '1,4': 2, '4,7': 2, '0,1': 2, '7,10': 2, '15,18': 2, '17,18': 2, '18,17': 1, '10,12': 1, '15,12': 1, '18,15': 1, '7,4': 1, '10,7': 1, '4,1': 1, '2,1': 1, '3,2': 1, '1,0': 1, '10': 1}"
38,22,0.04306674003601074,0.04403376579284668,"{'000000000000000000000000000': 1013, '100000000000000000000000000': 11}",13,"{'21': 10, '18': 7, '15': 4, '15,18': 1, '18,21': 1, '18,17': 1}",0.024062633514404297,0.05692744255065918,"{'000000000000000000000000000': 1017, '100000000000000000000000000': 7}",8,"{'8': 5, '8,11': 1, '8,5': 1, '8,9': 1}",0.02102184295654297,0.05990004539489746,"{'000000000000000000000000000': 1011, '100000000000000000000000000': 13}",10,"{'8': 7, '8,11': 1, '8,5': 1, '8,9': 1}",0.04993581771850586,0.05492115020751953,"{'000000000000000000000000000': 1015, '100000000000000000000000000': 9}",110,"{'7': 41, '12': 32, '0': 5, '4': 5, '4,7': 4, '7,10': 4, '1,4': 4, '10,12': 4, '4,1': 3, '7,4': 3, '13,14': 2, '14,16': 2, '16,19': 2, '19,22': 2, '0,1': 2, '25,26': 2, '12,10': 2, '10,7': 2, '22,25': 2, '25,22': 1, '22,19': 1, '26,25': 1, '19,16': 1, '16,14': 1, '14,13': 1, '12,13': 1, '1,0': 1}"
38,23,0.014961719512939453,0.04194521903991699,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",3,{9: 3},0.018949031829833984,0.05846691131591797,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",3,{20: 3},0.015956640243530273,0.061881303787231445,"{'000000000000000000000000000': 1017, '100000000000000000000000000': 7}",3,{0: 3},0.013038396835327148,0.05990171432495117,"{'000000000000000000000000000': 1017, '100000000000000000000000000': 7}",65,{0: 65}
38,24,0.011968135833740234,0.04088878631591797,"{'000000000000000000000000000': 1019, '100000000000000000000000000': 5}",1,{6: 1},0.015957355499267578,0.05191445350646973,"{'000000000000000000000000000': 1020, '100000000000000000000000000': 4}",1,{0: 1},0.013514041900634766,0.05490851402282715,"{'000000000000000000000000000': 1021, '100000000000000000000000000': 3}",1,{0: 1},0.012964963912963867,0.057846784591674805,"{'000000000000000000000000000': 1020, '100000000000000000000000000': 4}",56,{0: 56}
38,25,0.03310036659240723,0.038864850997924805,"{'000000000000000000000000000': 1020, '100000000000000000000000000': 4}",11,"{'11': 10, '8': 3, '8,11': 1, '8,5': 1, '8,9': 1}",0.02398204803466797,0.050864458084106445,"{'000000000000000000000000000': 1015, '100000000000000000000000000': 9}",6,"{'19': 3, '19,16': 1, '19,22': 1, '19,20': 1}",0.017008543014526367,0.05385613441467285,"{'000000000000000000000000000': 539, '100000000000000000000000000': 485}",9,"{'25': 6, '25,24': 1, '25,22': 1, '25,26': 1}",0.04506373405456543,0.04758405685424805,"{'000000000000000000000000000': 1014, '100000000000000000000000000': 10}",61,"{'12': 19, '0': 15, '1': 5, '7,10': 4, '4,7': 4, '12,15': 3, '1,4': 3, '15,18': 3, '0,1': 2, '17,18': 2, '18,21': 2, '21,23': 2, '10,12': 2, '7,4': 2, '10,7': 2, '12,10': 1, '23,21': 1, '21,18': 1, '4,1': 1, '18,15': 1, '15,12': 1, '1,0': 1, '18,17': 1, '15': 1}"
