cost,depth,tqc3TT,tqc3RT,tqc3Depth,tqc2TT,tqc2RT,tqc2Depth,tqc1TT,tqc1RT,tqc1Depth,tqc0TT,tqc0RT,tqc0Depth
2,1,0.0196364164352417,0.11147034168243408,3.0,0.013694429397583007,0.10649080276489258,3.0,0.02629094123840332,0.11758227348327636,3.0,0.009352588653564453,0.10618138313293457,3.0
3,2,0.024524617195129394,0.11089918613433838,1.4,0.016356563568115233,0.12244291305541992,1.4,0.014374613761901855,0.11106250286102295,1.4,0.01022639274597168,0.10864439010620117,5.4
4,2,0.03834798336029053,0.10957436561584473,3.0,0.020199394226074217,0.10949785709381103,3.0,0.017577862739562987,0.12273738384246827,3.0,0.012845778465270996,0.10514144897460938,5.2
4,3,0.022467923164367676,0.10999495983123779,1.4,0.01666116714477539,0.10597801208496094,1.4,0.02423713207244873,0.1044886827468872,1.4,0.010117125511169434,0.10280215740203857,6.2
5,1,0.01777815818786621,0.117801833152771,1.0,0.008342933654785157,0.1296989679336548,1.0,0.008531618118286132,0.1111041784286499,1.0,0.011559224128723145,0.1171736478805542,1.9
5,2,0.024956655502319337,0.10195703506469726,2.4,0.018991780281066895,0.11237108707427979,2.4,0.015337753295898437,0.10499405860900879,2.4,0.01045851707458496,0.11515452861785888,5.0
5,3,0.026074886322021484,0.11539878845214843,3.0,0.021792078018188478,0.10696303844451904,3.0,0.01757493019104004,0.11948461532592773,3.0,0.01277332305908203,0.10398681163787842,8.0
5,4,0.02498781681060791,0.10081691741943359,1.6,0.017779088020324706,0.11793971061706543,1.6,0.016903090476989745,0.1167524814605713,1.6,0.011425662040710449,0.11953940391540527,9.6
6,2,0.02448704242706299,0.12171769142150879,2.4,0.014622759819030762,0.10802597999572754,2.4,0.013228225708007812,0.12151269912719727,2.4,0.014643549919128418,0.11962730884552002,4.2
6,3,0.03099038600921631,0.12029516696929932,3.0,0.023066139221191405,0.1257472276687622,3.0,0.020455598831176758,0.11538476943969726,3.0,0.013326191902160644,0.1288227081298828,6.8
6,4,0.029920673370361327,0.1102895736694336,3.0,0.021575403213500977,0.11314330101013184,3.0,0.029029130935668945,0.1363736629486084,3.0,0.012820744514465332,0.11519548892974854,8.8
6,5,0.023920130729675294,0.11892824172973633,1.5,0.017928433418273926,0.10314099788665772,1.5,0.015628647804260255,0.10793581008911132,1.5,0.01079862117767334,0.11359884738922119,13.0
7,2,0.02749161720275879,0.11142818927764893,2.0,0.016689062118530273,0.1168402910232544,2.0,0.015092968940734863,0.11739428043365478,2.0,0.013012886047363281,0.11265625953674316,5.0
7,3,0.025872325897216795,0.10849425792694092,3.0,0.019238662719726563,0.10691611766815186,3.0,0.01647357940673828,0.12072114944458008,3.0,0.01118011474609375,0.10818262100219726,8.0
7,4,0.02587742805480957,0.11408445835113526,2.0,0.020451045036315917,0.11523892879486083,2.0,0.018478989601135254,0.10332539081573486,2.0,0.012514209747314453,0.11676580905914306,11.6
7,5,0.028229165077209472,0.12059800624847412,3.0,0.022070765495300293,0.11782774925231934,3.0,0.01950118541717529,0.11270310878753662,3.0,0.013788127899169922,0.12004265785217286,12.4
7,6,0.02554953098297119,0.1011087417602539,1.5,0.018758106231689452,0.12065668106079101,1.5,0.017197799682617188,0.1090047836303711,1.5,0.011508512496948241,0.11533262729644775,13.6
8,2,0.030211353302001955,0.10045900344848632,3.2,0.02655489444732666,0.11359581947326661,3.2,0.01623506546020508,0.12220683097839355,3.2,0.017745184898376464,0.10876245498657226,4.9
8,3,0.02547762393951416,0.10615234375,3.0,0.01921248435974121,0.11045830249786377,3.0,0.016098332405090333,0.121062970161438,3.0,0.010175466537475586,0.12329051494598389,9.0
8,4,0.028833484649658202,0.10618081092834472,2.6,0.021225833892822267,0.10445823669433593,2.6,0.01948392391204834,0.10553297996520997,2.6,0.01279153823852539,0.12344858646392823,9.8
8,5,0.04870429039001465,0.10222094058990479,2.2,0.020649194717407227,0.10612356662750244,2.2,0.017478680610656737,0.12110638618469238,2.2,0.012689208984375,0.10770108699798583,10.6
8,6,0.025849270820617675,0.11107022762298584,1.6,0.01960737705230713,0.1116384744644165,1.6,0.01598379611968994,0.11761810779571533,1.6,0.011000823974609376,0.10449237823486328,14.4
8,7,0.023457551002502443,0.09790797233581543,1.6,0.01769073009490967,0.12292654514312744,1.6,0.01563863754272461,0.10634534358978272,1.6,0.010347104072570801,0.12042365074157715,14.6
9,2,0.03246836662292481,0.10539486408233642,2.3,0.019957876205444335,0.11890389919281005,2.3,0.017246294021606445,0.11584713459014892,2.3,0.015554118156433105,0.1181372880935669,5.5
9,3,0.03054478168487549,0.11067650318145753,2.5,0.021790266036987305,0.10505800247192383,2.5,0.01954660415649414,0.12091879844665528,2.5,0.022295308113098145,0.10622096061706543,7.0
9,4,0.032306456565856935,0.1084737777709961,3.0,0.020134687423706055,0.10428309440612793,3.0,0.01588418483734131,0.11937978267669677,3.0,0.016930627822875976,0.11370465755462647,9.4
9,5,0.026433658599853516,0.10625236034393311,3.0,0.020059800148010253,0.1319807767868042,3.0,0.017296457290649415,0.10243444442749024,3.0,0.012235331535339355,0.11670362949371338,13.6
9,6,0.035042858123779295,0.10622267723083496,3.0,0.01906728744506836,0.11585726737976074,3.0,0.017125892639160156,0.1129692792892456,3.0,0.012734675407409668,0.10478575229644775,16.0
9,7,0.02868952751159668,0.10316104888916015,3.0,0.02128629684448242,0.11937599182128907,3.0,0.01958420276641846,0.10702495574951172,3.0,0.022418880462646486,0.11682195663452148,19.2
9,8,0.024513506889343263,0.10737905502319336,1.3,0.018011832237243654,0.10704708099365234,1.3,0.0169830322265625,0.11468446254730225,1.3,0.01141514778137207,0.11354396343231202,21.2
10,2,0.040694165229797366,0.10020253658294678,3.0,0.023383331298828126,0.10538408756256104,3.0,0.020453214645385742,0.11307260990142823,3.0,0.012269330024719239,0.11261906623840331,7.1
10,3,0.03053586483001709,0.10908863544464112,2.2,0.018111252784729005,0.10576126575469971,2.2,0.018182659149169923,0.11862351894378662,2.2,0.01678307056427002,0.11941680908203126,8.1
