cost,depth,tqc3TT,tqc3Depth,tqc3Qubits,tqc2TT,tqc2Depth,tqc2Qubits,tqc1TT,tqc1Depth,tqc1Qubits,tqc0TT,tqc0Depth,tqc0Qubits
6,5,0.046169281005859375,3,{13: 3},0.032914161682128906,3,{13: 3},0.026442766189575195,3,{0: 3},0.01447439193725586,23,{0: 23}
7,2,0.037897586822509766,4,"{'9': 3, '9,10': 1}",0.028919696807861328,4,"{'9': 3, '9,10': 1}",0.02604079246520996,4,"{'113': 3, '113,114': 1}",0.027924537658691406,19,"{'0': 3, '41,53': 2, '14,18': 2, '39,40': 2, '18,19': 2, '19,20': 2, '40,41': 2, '20,33': 2, '0,14': 2, '53,60': 2, '40,39': 1, '41,40': 1, '53,41': 1, '33,20': 1, '60,53': 1, '20,19': 1, '19,18': 1, '18,14': 1, '14,0': 1, '33,39': 1}"
7,3,0.05059552192687988,5,"{'9': 4, '9,10': 1}",0.04021763801574707,5,"{'113': 4, '113,114': 1}",0.03153538703918457,5,"{'9': 4, '9,10': 1}",0.03989434242248535,23,"{'0': 5, '20': 5, '41,42': 2, '39,40': 2, '18,19': 2, '19,20': 2, '33,39': 2, '0,14': 2, '14,18': 2, '40,41': 2, '20,33': 1, '39,33': 1, '40,39': 1, '14,0': 1, '41,40': 1, '20,19': 1, '19,18': 1, '18,14': 1, '42,41': 1}"
7,4,0.038541555404663086,3,{109: 3},0.027158498764038086,3,{109: 3},0.019939661026000977,3,{0: 3},0.019945621490478516,10,{0: 10}
7,5,0.03971266746520996,2,{13: 2},0.03302264213562012,2,{109: 2},0.02396249771118164,2,{0: 2},0.02547311782836914,13,{0: 13}
7,6,0.03687405586242676,3,{13: 3},0.036113739013671875,3,{109: 3},0.02293682098388672,3,{0: 3},0.01894998550415039,12,{0: 12}
8,3,0.04850339889526367,4,"{'9': 3, '9,10': 1}",0.033457279205322266,4,"{'9': 3, '9,10': 1}",0.15015554428100586,4,"{'113': 3, '113,114': 1}",0.03257584571838379,21,"{'20': 8, '19,20': 2, '21,22': 2, '22,23': 2, '23,24': 2, '24,34': 2, '0,14': 2, '18,19': 2, '14,18': 2, '20,19': 1, '19,18': 1, '14,0': 1, '24,23': 1, '18,14': 1, '23,22': 1, '22,21': 1, '20,21': 1, '34,24': 1}"
8,4,0.053383827209472656,2,"{'9': 1, '9,10': 1}",0.029931306838989258,2,"{'113': 1, '113,114': 1}",0.03118586540222168,2,"{'113': 1, '113,114': 1}",0.04670381546020508,24,"{'0': 11, '3,4': 2, '5,6': 2, '6,7': 2, '7,8': 2, '0,1': 2, '8,16': 2, '2,3': 2, '1,2': 2, '3,2': 1, '4,3': 1, '16,8': 1, '2,1': 1, '8,7': 1, '7,6': 1, '1,0': 1, '6,5': 1, '4,5': 1}"
8,5,0.04694247245788574,3,{109: 3},0.037919044494628906,3,{13: 3},0.02378678321838379,3,{0: 3},0.020032644271850586,15,{0: 15}
8,6,0.03938150405883789,1,{13: 1},0.03789877891540527,1,{109: 1},0.033976078033447266,1,{0: 1},0.01795053482055664,22,{0: 22}
8,7,0.04388070106506348,3,{109: 3},0.02892160415649414,3,{109: 3},0.02293848991394043,3,{0: 3},0.016953468322753906,17,{0: 17}
9,3,0.045244455337524414,1,"{'113,114': 1}",0.03798270225524902,1,"{'113,114': 1}",0.05590057373046875,1,"{'113,114': 1}",0.06662893295288086,31,"{'24': 6, '15,22': 2, '34,43': 2, '43,44': 2, '44,45': 2, '45,54': 2, '54,64': 2, '64,65': 2, '23,24': 2, '22,23': 2, '0,1': 2, '65,66': 2, '4,15': 2, '1,2': 2, '3,4': 2, '2,3': 2, '54,45': 1, '24,34': 1, '43,34': 1, '44,43': 1, '2,1': 1, '45,44': 1, '22,15': 1, '3,2': 1, '15,4': 1, '65,64': 1, '4,3': 1, '66,65': 1, '1,0': 1, '24,23': 1, '23,22': 1, '64,54': 1}"
9,4,0.05886650085449219,5,"{'9': 4, '9,10': 1}",0.03534674644470215,5,"{'113': 4, '113,114': 1}",0.031920671463012695,5,"{'9': 4, '9,10': 1}",0.04597330093383789,24,"{'39': 4, '20,33': 2, '40,41': 2, '41,53': 2, '53,60': 2, '60,61': 2, '61,62': 2, '0,14': 2, '33,39': 2, '62,63': 2, '19,20': 2, '18,19': 2, '14,18': 2, '33,20': 1, '60,53': 1, '39,40': 1, '41,40': 1, '14,0': 1, '53,41': 1, '61,60': 1, '18,14': 1, '20,19': 1, '62,61': 1, '19,18': 1, '63,62': 1, '39,33': 1, '0': 1}"
9,5,0.054993391036987305,1,{13: 1},0.04439210891723633,1,{109: 1},0.022936344146728516,1,{0: 1},0.020943641662597656,13,{0: 13}
9,6,0.05631566047668457,3,{13: 3},0.047383785247802734,3,{109: 3},0.03291177749633789,3,{0: 3},0.02695918083190918,16,{0: 16}
9,7,0.055155038833618164,2,{13: 2},0.03590893745422363,2,{113: 2},0.023934602737426758,2,{0: 2},0.02196192741394043,23,{0: 23}
9,8,0.050890445709228516,3,{13: 3},0.038924455642700195,3,{109: 3},0.025964021682739258,3,{0: 3},0.15140676498413086,18,{0: 18}
10,2,0.0490875244140625,2,"{'10,11': 1, '10,9': 1}",0.04026079177856445,2,"{'10,11': 1, '10,9': 1}",0.02843308448791504,2,"{'114,115': 1, '114,113': 1}",0.03900742530822754,35,"{'0,14': 2, '40,41': 2, '91,98': 2, '79,80': 2, '97,98': 2, '96,97': 2, '80,81': 2, '96,109': 2, '58,71': 2, '72,81': 2, '53,60': 2, '41,53': 2, '79,91': 2, '62,72': 2, '39,40': 2, '61,62': 2, '33,39': 2, '20,33': 2, '19,20': 2, '59,60': 2, '18,19': 2, '14,18': 2, '72,62': 1, '81,72': 1, '62,61': 1, '81,80': 1, '60,61': 1, '80,79': 1, '60,59': 1, '91,79': 1, '109,96': 1, '98,91': 1, '98,97': 1, '97,96': 1, '14,0': 1, '71,58': 1, '60,53': 1, '53,41': 1, '41,40': 1, '40,39': 1, '39,33': 1, '33,20': 1, '20,19': 1, '19,18': 1, '18,14': 1, '59,58': 1}"
10,4,0.08438825607299805,5,"{'9': 4, '9,10': 1}",0.051084280014038086,5,"{'9': 4, '9,10': 1}",0.035303354263305664,7,"{'9': 6, '9,10': 1}",0.053403377532958984,39,"{'34': 8, '0': 3, '68,69': 2, '22,23': 2, '66,67': 2, '54,64': 2, '67,68': 2, '1,2': 2, '0,1': 2, '24,34': 2, '45,54': 2, '23,24': 2, '64,65': 2, '65,66': 2, '44,45': 2, '15,22': 2, '4,15': 2, '43,44': 2, '3,4': 2, '2,3': 2, '45,44': 1, '64,54': 1, '44,43': 1, '34,43': 1, '65,64': 1, '54,45': 1, '1,0': 1, '66,65': 1, '67,66': 1, '68,67': 1, '34,24': 1, '24,23': 1, '23,22': 1, '22,15': 1, '15,4': 1, '4,3': 1, '3,2': 1, '2,1': 1, '69,68': 1}"
10,5,0.06579256057739258,4,"{'113': 3, '113,114': 1}",0.04761314392089844,4,"{'113': 3, '113,114': 1}",0.038804054260253906,4,"{'113': 3, '113,114': 1}",0.05395174026489258,31,"{'0': 6, '6,7': 2, '16,26': 2, '26,27': 2, '27,28': 2, '28,35': 2, '35,47': 2, '47,48': 2, '48,49': 2, '0,1': 2, '7,8': 2, '49,55': 2, '2,3': 2, '4,5': 2, '1,2': 2, '3,4': 2, '5,6': 2, '6,5': 1, '26,16': 1, '1,0': 1, '27,26': 1, '28,27': 1, '2,1': 1, '35,28': 1, '3,2': 1, '47,35': 1, '48,47': 1, '49,48': 1, '4,3': 1, '55,49': 1, '8,7': 1, '5,4': 1, '7,6': 1, '8,16': 1}"
