Target,Replacement
"('y', 'x', 'y', 'z')","('x', 'h', 'h')"
"('y', 'x', 'x')","('y',)"
"('x', 'z', 'z', 'z')","('x', 'z')"
"('z', 'z', 'x', 'z')","('x', 'z')"
"('y', 'x', 'z')","('y', 'x')"
"('z', 'y', 'x')","('y', 'x')"
"('x', 'h', 'y', 'h')","('y', 'x')"
"('x', 'h', 'y')","('y', 'x', 'h')"
"('y', 'x', 'h')","('y', 'x', 'h')"
"('h', 'z', 'y')","('y', 'x', 'h')"
"('y', 'h', 'z', 'x')","('y', 'x', 'h')"
"('z', 'h', 'z', 'y')","('y', 'x', 'h')"
"('y', 'z', 'z')","('y',)"
"('y', 'y', 'y')","('y',)"
"('y', 'y', 'z')",nan
"('x', 'y', 'z')","('x', 'y')"
"('y', 'z', 'y')","('x', 'z', 'x')"
"('z', 'x', 'z', 'x')","('x', 'z', 'x')"
"('h', 'y', 'h', 'y')","('x', 'z', 'x')"
"('z', 'y', 'h', 'h')","('y',)"
"('y', 'z', 'h')","('h', 'y')"
"('y', 'h', 'x')","('h', 'y')"
"('x', 'z', 'x', 'h')","('y', 'h', 'y')"
"('y', 'h', 'z')","('y', 'x', 'h')"
"('h', 'z', 'y', 'x')","('y', 'x', 'h')"
"('y', 'h', 'h')","('y',)"
"('z', 'x', 'x', 'y')","('y',)"
"('z', 'x', 'x')",nan
"('z', 'x', 'y')","('x', 'y')"
"('z', 'h', 'x', 'z')","('x', 'h')"
"('h', 'z', 'y', 'y')","('x', 'h')"
"('h', 'z', 'y', 'h')","('y', 'x')"
"('z', 'y', 'y')",nan
"('z', 'y', 'z')","('y', 'z')"
"('z', 'y', 'h')","('y', 'h')"
"('y', 'x', 'x', 'h')","('y', 'h')"
"('z', 'z', 'x')","('x', 'h', 'h')"
"('z', 'z', 'y')","('y',)"
"('h', 'h', 'y')","('y',)"
"('z', 'z', 'z')",nan
"('x', 'h', 'z')","('h',)"
"('z', 'h', 'x', 'x')","('h',)"
"('h', 'x', 'z', 'z')","('h',)"
"('z', 'h', 'x')","('h',)"
"('h', 'z', 'z', 'x')","('h',)"
"('z', 'h', 'x', 'y')","('h', 'y')"
"('z', 'x', 'h')","('x', 'h')"
"('y', 'y', 'y', 'y')",nan
"('h', 'x', 'z')","('x', 'h')"
"('h', 'h', 'x', 'h')","('x', 'h')"
"('x', 'h', 'y', 'z')","('y', 'h')"
"('h', 'y', 'y')","('h',)"
"('h', 'y', 'h')","('y', 'z')"
"('y', 'y', 'h', 'x')","('h',)"
"('h', 'h', 'z', 'h')","('h',)"
"('h', 'h', 'x')","('x',)"
"('x', 'x', 'z')",nan
"('h', 'h', 'h')","('h',)"
"('x', 'x', 'x', 'z')","('x', 'z')"
"('x', 'x', 'x', 'h')","('h', 'h', 'h', 'z')"
"('x', 'x', 'y', 'y')",nan
"('z', 'h', 'y', 'h')","('y', 'z')"
"('x', 'x', 'y', 'h')","('y', 'h')"
"('x', 'x', 'z', 'x')","('x',)"
"('x', 'x', 'z', 'y')","('y',)"
"('x', 'x', 'z', 'h')","('h',)"
"('x', 'x', 'h', 'x')","('h',)"
"('x', 'x', 'h', 'y')","('h', 'y')"
"('x', 'h', 'z', 'y')","('h', 'y')"
"('z', 'z', 'h', 'z')","('h', 'h', 'h', 'z')"
"('x', 'x', 'h', 'h')",nan
"('x', 'y', 'y', 'y')","('x', 'y')"
"('x', 'y', 'x', 'y')","('x', 'z', 'x')"
"('y', 'h', 'y', 'h')","('x', 'z', 'x')"
"('x', 'y', 'x', 'h')","('h', 'y')"
"('z', 'y', 'y', 'z')",nan
"('y', 'y', 'x', 'z')","('x', 'z')"
"('z', 'y', 'x', 'y')","('x', 'z')"
"('x', 'y', 'y', 'h')","('h', 'h', 'h', 'z')"
"('x', 'y', 'z', 'y')","('x',)"
"('x', 'y', 'h', 'x')","('z', 'h', 'y', 'z')"
"('x', 'y', 'h', 'y')","('x', 'z', 'h')"
"('x', 'y', 'h', 'z')","('h', 'y')"
"('x', 'y', 'h', 'h')","('x', 'y')"
"('x', 'z', 'x', 'x')","('x', 'z')"
"('x', 'z', 'x', 'z')","('x', 'z', 'x')"
"('x', 'z', 'y', 'x')","('y',)"
"('x', 'z', 'y', 'z')","('y', 'x')"
"('x', 'z', 'z', 'y')","('x', 'y')"
"('h', 'z', 'x', 'h')","('x', 'z')"
"('x', 'z', 'z', 'h')","('h', 'h', 'h', 'z')"
"('x', 'z', 'h', 'x')","('h', 'h', 'h', 'z')"
"('x', 'z', 'h', 'z')","('y', 'h', 'y')"
"('h', 'y', 'x', 'y')","('y', 'h', 'y')"
"('x', 'z', 'h', 'h')","('x', 'z')"
"('x', 'h', 'x', 'x')","('x', 'h')"
"('h', 'y', 'y', 'z')","('x', 'h')"
"('x', 'h', 'x', 'y')","('x', 'y', 'h')"
"('y', 'h', 'y', 'x')","('y', 'h', 'y')"
"('x', 'h', 'x', 'z')","('y', 'h', 'y')"
"('x', 'h', 'x', 'h')","('x', 'z')"
"('x', 'h', 'y', 'x')","('y', 'x', 'h')"
"('x', 'h', 'y', 'y')","('x', 'h')"
"('y', 'x', 'z', 'z')","('y', 'x')"
"('h', 'h', 'y', 'x')","('y', 'x')"
"('x', 'h', 'z', 'x')","('h',)"
"('x', 'h', 'z', 'h')",nan
"('h', 'z', 'h', 'x')",nan
"('y', 'y', 'h', 'h')",nan
"('x', 'h', 'h', 'y')","('x', 'y')"
"('x', 'x', 'x', 'y')","('x', 'y')"
"('x', 'h', 'h', 'z')","('x', 'z')"
"('x', 'h', 'z', 'z')","('h', 'h', 'h', 'z')"
"('y', 'x', 'x', 'y')",nan
"('y', 'x', 'x', 'z')","('y', 'z')"
"('z', 'z', 'y', 'z')","('y', 'z')"
"('y', 'x', 'y', 'x')","('x', 'z', 'x')"
"('y', 'x', 'y', 'y')","('y', 'x')"
"('y', 'x', 'y', 'h')","('x', 'z', 'h')"
"('y', 'x', 'z', 'y')","('x', 'z')"
"('y', 'x', 'z', 'h')","('y', 'x', 'h')"
"('x', 'z', 'y', 'h')","('y', 'x', 'h')"
"('y', 'x', 'h', 'z')","('y', 'h')"
"('y', 'x', 'h', 'h')","('y', 'x')"
"('y', 'y', 'x', 'x')",nan
"('x', 'x', 'h', 'z')","('h', 'h', 'h', 'z')"
"('y', 'y', 'x', 'h')","('h', 'h', 'h', 'z')"
"('y', 'y', 'y', 'x')","('y', 'x')"
"('y', 'h', 'z', 'h')","('y', 'x')"
"('y', 'z', 'x', 'x')","('y', 'z')"
"('y', 'z', 'h', 'h')","('y', 'z')"
"('y', 'y', 'h', 'y')","('h', 'y')"
"('z', 'x', 'y', 'x')","('y', 'z')"
"('z', 'z', 'z', 'x')","('x',)"
"('y', 'z', 'x', 'z')","('x', 'y')"
"('x', 'z', 'h', 'y')","('z', 'h', 'y', 'z')"
"('y', 'z', 'y', 'h')","('y', 'h', 'y')"
"('y', 'z', 'z', 'x')","('y', 'x')"
"('x', 'z', 'z', 'x')",nan
"('y', 'z', 'z', 'z')","('y', 'z')"
"('y', 'y', 'y', 'h')","('y', 'h')"
"('y', 'z', 'z', 'h')","('y', 'h')"
"('y', 'z', 'h', 'x')","('y', 'h')"
"('y', 'z', 'h', 'y')","('h',)"
"('y', 'z', 'h', 'z')","('z', 'h', 'y', 'z')"
"('y', 'h', 'x', 'x')","('y', 'h')"
"('y', 'h', 'x', 'y')","('h',)"
"('h', 'x', 'h', 'h')","('h',)"
"('y', 'h', 'x', 'z')","('x', 'y', 'h')"
"('x', 'z', 'x', 'y')","('y', 'z')"
"('y', 'y', 'y', 'z')","('y', 'z')"
"('y', 'h', 'y', 'z')","('x', 'z', 'h')"
"('y', 'z', 'y', 'z')","('x', 'z', 'x')"
"('x', 'h', 'h', 'h')","('h', 'h', 'h', 'z')"
"('h', 'h', 'h', 'z')","('h', 'h', 'h', 'z')"
"('y', 'h', 'z', 'z')","('y', 'h')"
"('y', 'x', 'x', 'x')","('y', 'x')"
"('y', 'h', 'h', 'x')","('y', 'x')"
"('x', 'x', 'y', 'x')","('y', 'x')"
"('x', 'h', 'h', 'x')",nan
"('y', 'h', 'h', 'z')","('y', 'z')"
